0.45163,0.80439,9.3684,0.50726,0.87552,12.103,0.50726,0.89226,15.832,0.49274,0.92364,18.134,0.52177,0.86506,20.358,0.552,0.909,22.424,0.4867,0.90063,27.616,0.58464,0.91946,30.013,0.31741,0.89435,32.328,0.57497,0.89226,34.865,0.5266,0.90063,37.198,0.52418,0.91318,39.555,0.56651,0.87762,41.66,0.54111,0.91736,43.735,0.52056,0.87134,45.769,0.51209,0.88598,47.841,0.48791,0.92992,49.915
0.39722,0.71025,9.3831,0.49033,0.85669,12.119,0.49033,0.87343,15.848,0.47461,0.89017,18.149,0.51209,0.84833,20.373,0.54353,0.88808,22.439,0.46977,0.87552,27.632,0.56892,0.89435,30.029,0.30048,0.87134,32.344,0.5532,0.86715,34.881,0.51451,0.88808,37.214,0.50967,0.89435,39.57,0.55683,0.86925,41.669,0.52539,0.90063,43.745,0.50967,0.85879,45.786,0.50605,0.87552,47.848,0.47703,0.91318,49.924
0.3815,0.68515,9.3965,0.48186,0.84205,12.137,0.47944,0.86088,15.866,0.46131,0.86506,18.165,0.49516,0.81695,20.391,0.53628,0.86715,22.451,0.45526,0.85879,27.645,0.55683,0.87552,30.044,0.29202,0.85669,32.362,0.54474,0.85669,34.899,0.48791,0.84623,37.23,0.50121,0.8818,39.585,0.54353,0.85669,41.678,0.51572,0.89017,43.76,0.48912,0.83577,45.804,0.5,0.86715,47.863,0.46372,0.89435,49.931
0.37062,0.66004,9.4046,0.47219,0.82322,12.148,0.46856,0.84414,15.876,0.4468,0.83787,18.172,0.48428,0.79603,20.399,0.52297,0.84414,22.457,0.44317,0.84205,27.653,0.54716,0.85669,30.052,0.26784,0.82113,32.378,0.53386,0.83996,34.909,0.47582,0.82531,37.239,0.48912,0.86506,39.593,0.52539,0.83996,41.693,0.50846,0.87762,43.766,0.47582,0.81695,45.814,0.49154,0.85669,47.867,0.45042,0.87343,49.942
0.36094,0.63285,9.4132,0.45526,0.80021,12.155,0.45405,0.8295,15.883,0.4347,0.81067,18.179,0.47461,0.77092,20.413,0.51088,0.81067,22.468,0.43229,0.82531,27.664,0.53748,0.83368,30.06,0.25816,0.80021,32.394,0.51935,0.82113,34.916,0.45042,0.78556,37.25,0.47703,0.85042,39.601,0.51088,0.82113,41.7,0.49395,0.85879,43.781,0.46614,0.79812,45.821,0.48307,0.84414,47.882,0.43954,0.8546,49.952
0.34885,0.60565,9.4243,0.44317,0.7772,12.161,0.44075,0.80858,15.89,0.4214,0.78138,18.192,0.44075,0.70607,20.438,0.50121,0.78138,22.477,0.41898,0.80439,27.674,0.52177,0.80439,30.07,0.23035,0.75209,32.409,0.50726,0.80021,34.923,0.43591,0.75628,37.26,0.45405,0.82113,39.614,0.49033,0.78766,41.712,0.48186,0.83787,43.786,0.44921,0.7751,45.829,0.47582,0.8295,47.893,0.42987,0.83577,49.961
0.34039,0.57845,9.4346,0.42987,0.75,12.167,0.42866,0.78766,15.9,0.41294,0.75209,18.201,0.41536,0.6454,20.463,0.48912,0.75,22.488,0.4081,0.77929,27.684,0.50967,0.7772,30.08,0.21342,0.7228,32.425,0.49274,0.77301,34.929,0.41898,0.7249,37.27,0.43833,0.79603,39.625,0.47219,0.75418,41.723,0.46856,0.81276,43.8,0.43108,0.73954,45.842,0.46372,0.81067,47.898,0.41778,0.81276,49.971
0.33434,0.55335,9.446,0.41657,0.72071,12.178,0.41536,0.76464,15.91,0.40326,0.7228,18.211,0.40326,0.60774,20.47,0.47461,0.70607,22.497,0.39722,0.75418,27.694,0.5,0.74791,30.09,0.19166,0.66841,32.441,0.47823,0.74372,34.941,0.40326,0.68305,37.283,0.42261,0.77092,39.635,0.44921,0.7228,41.734,0.44438,0.77092,43.811,0.41657,0.70816,45.855,0.45042,0.78556,47.912,0.4081,0.78556,49.98
0.3295,0.52615,9.4507,0.40689,0.69351,12.188,0.40447,0.73745,15.92,0.3948,0.69142,18.221,0.3948,0.57427,20.476,0.45768,0.66841,22.507,0.38029,0.7249,27.704,0.48912,0.72071,30.1,0.16868,0.60774,32.456,0.45889,0.70816,34.951,0.38875,0.64749,37.292,0.4081,0.73745,39.648,0.42745,0.67678,41.746,0.42987,0.73536,43.824,0.40568,0.67887,45.867,0.43833,0.75837,47.923,0.39722,0.75628,49.99
0.32709,0.50105,9.4621,0.39722,0.66632,12.198,0.39117,0.71025,15.93,0.3815,0.65586,18.231,0.38271,0.54079,20.489,0.44317,0.62866,22.517,0.3682,0.69561,27.715,0.47823,0.69142,30.11,0.16143,0.57218,32.47,0.44075,0.6705,34.962,0.37424,0.61192,37.304,0.39722,0.71025,39.659,0.41173,0.63912,41.758,0.41657,0.69351,43.837,0.39601,0.64331,45.879,0.42745,0.72908,47.928,0.38029,0.72071,50
0.32467,0.47385,9.472,0.38271,0.63285,12.208,0.37787,0.68096,15.94,0.37183,0.62238,18.239,0.37545,0.50105,20.5,0.42866,0.58054,22.53,0.35611,0.66632,27.719,0.46977,0.66004,30.12,0.15054,0.49268,32.493,0.42624,0.63285,34.972,0.36094,0.56381,37.316,0.38029,0.68096,39.669,0.40085,0.60565,41.771,0.40326,0.63912,43.849,0.38029,0.60565,45.883,0.41536,0.69561,47.942,0.36941,0.68305,50.01
0.32467,0.45084,9.4831,0.37304,0.60356,12.218,0.3682,0.65167,15.949,0.36336,0.58473,18.248,0.37183,0.46548,20.51,0.41898,0.54498,22.54,0.34281,0.63703,27.731,0.45768,0.62448,30.13,0.14692,0.45084,32.5,0.41415,0.59519,34.981,0.35006,0.52406,37.327,0.36699,0.63912,39.681,0.38271,0.55126,41.782,0.39117,0.59519,43.854,0.37183,0.57218,45.897,0.40568,0.66004,47.954,0.35973,0.64331,50.02
0.32709,0.42364,9.494,0.36578,0.56799,12.228,0.36094,0.62448,15.96,0.34885,0.54916,18.263,0.36941,0.43201,20.52,0.41173,0.50941,22.551,0.33313,0.60774,27.741,0.4468,0.591,30.14,0.14329,0.32531,32.53,0.40568,0.56172,34.992,0.3416,0.48849,37.337,0.35852,0.60565,39.691,0.37545,0.51778,41.793,0.38029,0.55335,43.869,0.36457,0.5387,45.902,0.39722,0.62448,47.959,0.34522,0.60146,50.03
