0.27025,0.78975,7.9972,0.30532,0.79812,11.145,0.28114,0.72071,13.861,0.27146,0.7751,16.571,0.263,0.76674,19.16,0.31378,0.75,21.77,0.27751,0.92364,24.35,0.32588,0.89644,26.866,0.34643,0.90063,29.593,0.29927,0.86506,32.268,0.29686,0.7751,34.837,0.30532,0.88389,37.656,0.30048,0.80439,41.439
0.29686,0.84833,8.0273,0.31741,0.82322,11.163,0.28839,0.75209,13.877,0.27872,0.78975,16.587,0.27267,0.7772,19.176,0.32709,0.77092,21.789,0.28839,0.9341,24.358,0.35369,0.91527,26.882,0.35611,0.909,29.609,0.32346,0.8818,32.285,0.30774,0.79393,34.848,0.33192,0.90272,37.671,0.30532,0.82113,41.455
0.30532,0.85879,8.0408,0.32467,0.83368,11.181,0.29202,0.76674,13.896,0.29081,0.81904,16.604,0.29081,0.80439,19.19,0.34522,0.79603,21.804,0.30532,0.94247,24.372,0.36699,0.92155,26.898,0.37787,0.92364,29.625,0.33918,0.89017,32.302,0.3162,0.80649,34.859,0.34643,0.91109,37.69,0.32104,0.8546,41.467
0.31499,0.87134,8.0482,0.33797,0.85251,11.195,0.30411,0.79603,13.908,0.30895,0.84414,16.624,0.29686,0.81485,19.198,0.35611,0.80649,21.815,0.32104,0.95084,24.379,0.38271,0.92782,26.906,0.39117,0.92992,29.638,0.35248,0.89435,32.309,0.32346,0.82113,34.869,0.37666,0.92782,37.705,0.3283,0.86925,41.475
0.32467,0.88389,8.0553,0.34643,0.86088,11.205,0.31258,0.80858,13.922,0.31862,0.8546,16.639,0.30895,0.8295,19.209,0.36457,0.81695,21.828,0.33918,0.95502,24.393,0.39601,0.93201,26.912,0.40326,0.9341,29.643,0.36578,0.89854,32.316,0.33192,0.83577,34.879,0.40447,0.9341,37.724,0.3416,0.88389,41.49
0.33192,0.89226,8.0663,0.3549,0.86506,11.213,0.32104,0.82113,13.927,0.3295,0.86506,16.656,0.31983,0.83787,19.219,0.37908,0.82741,21.833,0.35611,0.95921,24.399,0.40931,0.9341,26.924,0.41415,0.93619,29.654,0.38029,0.90272,32.327,0.34401,0.85042,34.889,0.41898,0.9341,37.741,0.35248,0.89644,41.5
0.34281,0.89854,8.0769,0.36336,0.86925,11.221,0.3283,0.83159,13.935,0.35369,0.87552,16.671,0.3283,0.84833,19.23,0.39117,0.83577,21.845,0.37666,0.9613,24.412,0.42503,0.9341,26.934,0.42745,0.93619,29.667,0.3948,0.90481,32.337,0.35611,0.86297,34.899,0.45768,0.92782,37.756,0.36215,0.9069,41.51
0.35369,0.90481,8.0864,0.37545,0.87134,11.234,0.33797,0.84205,13.947,0.36941,0.87971,16.685,0.34039,0.86088,19.239,0.40085,0.84414,21.855,0.39238,0.9613,24.417,0.4468,0.92992,26.944,0.4468,0.9341,29.678,0.40931,0.909,32.347,0.36941,0.87552,34.91,0.47703,0.91946,37.769,0.37908,0.91736,41.521
0.36336,0.909,8.0962,0.38755,0.87134,11.241,0.34764,0.85042,13.957,0.38271,0.87971,16.694,0.35127,0.86925,19.25,0.41294,0.84833,21.865,0.41052,0.95921,24.429,0.48065,0.91318,26.966,0.46252,0.92782,29.688,0.42503,0.909,32.357,0.38392,0.88598,34.915,0.50121,0.90272,37.781,0.39117,0.92364,41.532
0.37666,0.91109,8.1063,0.40206,0.86925,11.255,0.35852,0.86088,13.968,0.39359,0.87762,16.702,0.36094,0.87762,19.259,0.42624,0.8546,21.874,0.42745,0.95502,24.438,0.49516,0.89644,26.972,0.48065,0.91527,29.699,0.44559,0.9069,32.368,0.39722,0.89435,34.926,0.51814,0.88808,37.793,0.39964,0.92782,41.543
