0.39601,0.92782,3.0622,0.28718,0.8295,5.7704,0.30895,0.87762,8.2279,0.31862,0.8295,10.792,0.35611,0.92573,13.373,0.30895,0.79184,15.81,0.35973,0.86297,18.196,0.29202,0.909,21.614,0.33676,0.97176,24.287,0.35248,0.81695,27.036,0.33071,0.9069,29.844,0.29202,0.86088,32.403,0.32346,0.89017,34.88,0.29202,0.83577,37.323
0.41657,0.94456,3.0889,0.30048,0.86088,5.7863,0.31983,0.89435,8.2393,0.33313,0.83996,10.803,0.38271,0.94038,13.388,0.32709,0.82113,15.826,0.37545,0.87134,18.207,0.32225,0.92992,21.629,0.37062,0.96548,24.304,0.36336,0.8295,27.048,0.35732,0.90481,29.861,0.32104,0.90481,32.42,0.33797,0.89435,34.891,0.30895,0.85669,37.333
0.44196,0.95502,3.1027,0.31378,0.87762,5.8029,0.3295,0.91109,8.2452,0.35006,0.84833,10.814,0.39722,0.94456,13.404,0.34039,0.83787,15.839,0.39117,0.87343,18.217,0.34039,0.93619,21.645,0.40206,0.94665,24.321,0.37787,0.84414,27.057,0.38029,0.90272,29.876,0.33192,0.91946,32.435,0.35127,0.89854,34.902,0.32709,0.87971,37.346
0.45526,0.95711,3.1156,0.32467,0.89017,5.8112,0.34522,0.92364,8.2561,0.36699,0.85669,10.825,0.41294,0.94456,13.412,0.35127,0.85042,15.847,0.4081,0.87134,18.222,0.3549,0.94665,21.653,0.41898,0.92992,24.339,0.38996,0.85669,27.062,0.40206,0.89854,29.883,0.35127,0.93619,32.442,0.36941,0.89854,34.912,0.34885,0.89435,37.356
0.46614,0.95921,3.1247,0.33918,0.90063,5.8181,0.35852,0.93201,8.2654,0.38271,0.86088,10.829,0.42745,0.94247,13.419,0.36215,0.86297,15.854,0.42745,0.86715,18.234,0.37424,0.95293,21.661,0.43954,0.91109,24.349,0.40085,0.86715,27.074,0.4214,0.89017,29.892,0.37424,0.94874,32.45,0.38513,0.90063,34.917,0.36699,0.90272,37.366
0.47703,0.95921,3.1349,0.35127,0.90481,5.8249,0.37666,0.9341,8.2754,0.3948,0.86297,10.841,0.45284,0.93201,13.43,0.37787,0.87552,15.865,0.45284,0.85879,18.243,0.38875,0.95711,21.667,0.45768,0.89017,24.359,0.41415,0.87552,27.083,0.448,0.87971,29.897,0.38996,0.95293,32.455,0.40447,0.89854,34.929,0.39117,0.909,37.376
0.4867,0.95711,3.1451,0.36457,0.909,5.8355,0.39117,0.92992,8.2856,0.40931,0.85879,10.852,0.47098,0.91946,13.435,0.39238,0.88598,15.874,0.46977,0.85251,18.253,0.40326,0.95711,21.678,0.46856,0.87343,24.366,0.42866,0.87971,27.093,0.46856,0.86297,29.91,0.40568,0.95293,32.467,0.42382,0.89226,34.94,0.41173,0.9069,37.386
0.49637,0.95293,3.1546,0.37908,0.91109,5.8462,0.40689,0.92364,8.2955,0.42382,0.85251,10.862,0.4867,0.90063,13.445,0.40568,0.89435,15.884,0.48307,0.84414,18.263,0.41657,0.95711,21.688,0.47582,0.85879,24.372,0.448,0.8818,27.102,0.48549,0.84833,29.92,0.4214,0.94665,32.476,0.45042,0.88389,34.95,0.42745,0.90063,37.396
0.51451,0.94456,3.1651,0.39238,0.909,5.8556,0.4214,0.91527,8.3057,0.44075,0.83996,10.874,0.49758,0.8818,13.456,0.41898,0.89854,15.893,0.49154,0.83159,18.273,0.43229,0.95711,21.698,0.47944,0.84205,24.383,0.46493,0.87971,27.113,0.49637,0.83159,29.93,0.44559,0.9341,32.486,0.46856,0.87343,34.959,0.45768,0.87971,37.41
0.5266,0.93619,3.1746,0.40931,0.90481,5.8653,0.43349,0.90063,8.3155,0.45647,0.82531,10.879,0.50484,0.86297,13.465,0.42987,0.89854,15.904,0.49758,0.81904,18.282,0.44921,0.94874,21.708,0.48186,0.82741,24.393,0.48065,0.87343,27.123,0.50363,0.81695,29.94,0.46493,0.91527,32.496,0.48186,0.86088,34.97,0.4734,0.86088,37.42
