0.59432,0.28766,1.7791,0.5532,0.28347,4.9613,0.55925,0.2228,7.4656,0.57739,0.24582,10.05,0.57376,0.26046,12.626,0.58102,0.23117,15.275,0.57618,0.26464,17.803,0.56892,0.14749,20.393,0.5786,0.23954,24.365,0.56651,0.17887,27.055,0.56651,0.86925,33.975
0.59432,0.30649,1.9079,0.56046,0.35251,4.9772,0.56046,0.25209,7.4762,0.5786,0.28347,10.06,0.57497,0.33996,12.642,0.58222,0.25837,15.288,0.57739,0.29393,17.815,0.57134,0.17469,20.403,0.58102,0.30649,24.381,0.57013,0.23954,27.073,0.54716,0.82531,33.991
0.59311,0.32322,1.9224,0.56409,0.38808,4.9966,0.56167,0.28347,7.4878,0.58102,0.32322,10.071,0.57497,0.37552,12.661,0.58343,0.29184,15.295,0.5786,0.33368,17.823,0.57255,0.21025,20.413,0.58222,0.34833,24.394,0.57497,0.31485,27.091,0.53869,0.80021,34.009
0.58948,0.34623,1.9324,0.56409,0.41946,5.0111,0.56288,0.31695,7.4987,0.58222,0.35879,10.08,0.57497,0.44456,12.671,0.5919,0.33159,15.305,0.5786,0.3818,17.829,0.57376,0.25,20.422,0.58222,0.39226,24.401,0.5786,0.3546,27.101,0.52297,0.77092,34.019
0.58948,0.37134,1.9419,0.56651,0.50523,5.0211,0.56409,0.3546,7.5104,0.58464,0.39435,10.089,0.57497,0.4864,12.681,0.59432,0.36925,15.314,0.5786,0.43619,17.836,0.57497,0.29184,20.432,0.58343,0.4341,24.407,0.58102,0.39226,27.11,0.50967,0.73954,34.026
0.58948,0.39435,1.9532,0.56651,0.54916,5.0343,0.56651,0.39644,7.5214,0.58464,0.43201,10.096,0.57376,0.53452,12.696,0.59794,0.4069,15.326,0.5786,0.48222,17.846,0.57739,0.33996,20.442,0.58343,0.47594,24.419,0.58222,0.42782,27.122,0.49758,0.70816,34.033
0.58706,0.42364,1.9621,0.56771,0.62238,5.0441,0.56651,0.43619,7.5294,0.58464,0.46757,10.108,0.57255,0.58264,12.701,0.60036,0.44456,15.337,0.57981,0.52615,17.856,0.57739,0.38389,20.452,0.58827,0.51987,24.429,0.58706,0.46757,27.129,0.48186,0.67678,34.039
0.58706,0.44874,1.9723,0.56771,0.69351,5.0546,0.56651,0.47803,7.5357,0.58585,0.50732,10.117,0.57134,0.63285,12.715,0.60036,0.48222,15.346,0.57981,0.57218,17.866,0.5786,0.42992,20.461,0.59311,0.5659,24.439,0.59311,0.50523,27.142,0.46252,0.64121,34.05
0.58464,0.48013,1.9816,0.56771,0.75418,5.0644,0.56771,0.51987,7.5419,0.58464,0.55335,10.127,0.57134,0.68096,12.721,0.60278,0.51987,15.356,0.58102,0.61402,17.876,0.57981,0.47385,20.472,0.59553,0.60774,24.449,0.59432,0.54289,27.152,0.44196,0.60983,34.061
0.58343,0.5136,1.9914,0.56771,0.8023,5.0766,0.56892,0.56381,7.5534,0.58343,0.60146,10.137,0.57013,0.7249,12.734,0.60399,0.56172,15.366,0.58102,0.65377,17.886,0.57981,0.51569,20.481,0.59794,0.64331,24.458,0.59674,0.58054,27.163,0.42261,0.57845,34.07
